,HomeTeam,AwayTeam,Ave L5 HG,Ave L5 AG,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Home-AwayG,Home-AwaySHTT,Home-AwayCorners,Home-AwayFouls,SumofAdvantages,Result
0,CharltonH,ManCityA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
1,ChelseaH,WestHamA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
2,CoventryH,MiddlesbroughA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
3,DerbyH,SouthamptonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
4,LeedsH,EvertonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
5,LeicesterH,AstonVillaA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
6,LiverpoolH,BradfordA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
7,SunderlandH,ArsenalA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
8,TottenhamH,IpswichA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
9,ManUnitedH,NewcastleA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
10,ArsenalH,LiverpoolA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
11,BradfordH,ChelseaA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
12,IpswichH,ManUnitedA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
13,MiddlesbroughH,TottenhamA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
14,EvertonH,CharltonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
15,ManCityH,SunderlandA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
16,NewcastleH,DerbyA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
17,SouthamptonH,CoventryA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
18,WestHamH,LeicesterA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
19,ArsenalH,CharltonA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
20,BradfordH,LeicesterA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
21,EvertonH,DerbyA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,2
22,IpswichH,SunderlandA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,1
23,ManCityH,CoventryA,1.521546,1.145627,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0.375919,1.39,1.328771,-0.52155,2.57314,0
