Date,HomeTeam,AwayTeam,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM,outcome_by_HOME
8/8/2015,Bournemouth,Aston Villa,7.024,3.303,3.748,20,17,0,0,0
8/8/2015,Chelsea,Swansea,6.697,4.338,8.967,1,8,0,0,2
8/8/2015,Everton,Watford,6.842,3.514,4.852,11,20,0,0,2
8/8/2015,Leicester,Sunderland,7,3.207,3.742,14,16,0,0,1
8/8/2015,Man United,Tottenham,6.477,3.651,5.318,4,5,0,0,1
8/8/2015,Norwich,Crystal Palace,7.427,3.16,2.894,20,10,0,0,0
9/8/2015,Arsenal,West Ham,6.763,5.04,10.098,3,12,0,0,0
9/8/2015,Newcastle,Southampton,7.63,3.198,2.689,15,7,0,0,2
9/8/2015,Stoke,Liverpool,8.011,3.356,2.416,9,6,0,0,0
10/8/2015,West Brom,Man City,9.263,4.136,2.105,13,2,0,0,0
14/8/2015,Aston Villa,Man United,9.343,3.966,2.142,17,4,1,-1,0
15/8/2015,Southampton,Everton,7.024,3.278,3.9,7,11,1,0,0
15/8/2015,Sunderland,Norwich,7.358,3.148,3.019,16,20,-1,-1,0
15/8/2015,Swansea,Newcastle,6.983,3.335,3.912,8,15,0,1,1
15/8/2015,Tottenham,Stoke,6.887,3.446,4.498,5,9,-1,0,2
15/8/2015,Watford,West Brom,7.246,3.199,3.175,20,13,1,-1,2
15/8/2015,West Ham,Leicester,7.202,3.257,3.229,12,14,1,-1,0
16/8/2015,Crystal Palace,Arsenal,9.465,3.953,2.11,10,3,0,-1,0
16/8/2015,Man City,Chelsea,6.869,3.268,3.537,2,1,1,-1,1
17/8/2015,Liverpool,Bournemouth,6.526,4.224,7.071,6,20,1,1,1
22/8/2015,Crystal Palace,Aston Villa,6.468,3.337,4.237,10,17,-1,0,1
22/8/2015,Leicester,Tottenham,7.084,3.31,2.698,14,5,0,1,2
22/8/2015,Man United,Newcastle,6.034,4.607,8.468,4,15,1,0,2
22/8/2015,Norwich,Stoke,6.818,3.172,3.135,20,9,0,-1,2
22/8/2015,Sunderland,Swansea,7.818,3.4,2.294,16,8,-1,0,2
22/8/2015,West Ham,Bournemouth,6.835,3.231,3.086,12,20,1,0,0
23/8/2015,Everton,Man City,8.504,3.983,2.075,11,2,1,0,0
23/8/2015,Watford,Southampton,7.116,3.206,2.709,20,7,0,0,2
23/8/2015,West Brom,Chelsea,9.549,4.079,2.131,13,1,-1,0,0
24/8/2015,Arsenal,Liverpool,6.081,3.567,4.6,3,6,1,-1,2
29/8/2015,Aston Villa,Sunderland,6.406,3.278,4.167,17,16,0,-1,2
29/8/2015,Bournemouth,Leicester,6.602,3.283,3.277,20,14,1,1,2
29/8/2015,Chelsea,Crystal Palace,6.144,4.511,8.827,1,10,0,0,0
29/8/2015,Liverpool,West Ham,6.181,4.603,8.137,6,12,1,1,0
29/8/2015,Man City,Watford,6.333,6.46,12.909,2,20,1,0,1
29/8/2015,Newcastle,Arsenal,9.335,4.236,2.087,15,3,1,0,0
29/8/2015,Stoke,West Brom,6.413,3.225,3.992,9,13,-1,-1,0
29/8/2015,Tottenham,Everton,6.452,3.32,3.787,5,11,-1,-1,2
30/8/2015,Southampton,Norwich,6.477,3.282,3.666,7,20,0,1,1
30/8/2015,Swansea,Man United,7.557,3.318,2.37,8,4,-1,-1,1
12/9/2015,Arsenal,Stoke,5.744,5.093,10.315,3,9,1,0,1
12/9/2015,Crystal Palace,Man City,8.754,4.226,2.076,10,2,0,0,0
12/9/2015,Everton,Chelsea,7.629,3.516,2.227,11,1,-1,0,1
12/9/2015,Man United,Liverpool,6.077,3.248,4.084,4,6,-1,-1,1
12/9/2015,Norwich,Bournemouth,6.289,3.248,3.003,20,20,-1,1,1
12/9/2015,Watford,Swansea,6.536,3.187,2.757,20,8,0,-1,1
12/9/2015,West Brom,Southampton,6.796,3.186,2.56,13,7,1,0,2
13/9/2015,Leicester,Aston Villa,6.047,3.383,4.091,14,17,1,1,1
13/9/2015,Sunderland,Tottenham,7.741,3.589,2.204,16,5,0,1,0
14/9/2015,West Ham,Newcastle,6.067,3.266,3.226,12,15,0,-1,1
19/9/2015,Aston Villa,West Brom,6.653,3.105,3.255,17,13,1,-1,0
19/9/2015,Bournemouth,Sunderland,6.283,3.551,4.761,20,16,0,-1,1
19/9/2015,Chelsea,Arsenal,6.766,3.286,2.99,1,3,1,1,1
19/9/2015,Man City,West Ham,6.223,5.524,10.632,2,12,0,0,0
19/9/2015,Newcastle,Watford,6.817,3.204,2.934,15,20,-1,-1,0
19/9/2015,Stoke,Leicester,6.802,3.199,2.937,9,14,-1,1,2
19/9/2015,Swansea,Everton,6.662,3.21,3.172,8,11,1,0,2
20/9/2015,Liverpool,Norwich,6.243,3.618,5.224,6,20,0,-1,2
20/9/2015,Southampton,Man United,7.29,3.205,2.525,7,4,1,0,0
20/9/2015,Tottenham,Crystal Palace,6.445,3.349,3.758,5,10,0,0,1
26/9/2015,Leicester,Arsenal,8.337,3.89,2.123,14,3,-1,1,0
26/9/2015,Liverpool,Aston Villa,6.292,3.82,6.393,6,17,-1,1,1
26/9/2015,Man United,Sunderland,6.398,5.995,13.069,4,16,-1,-1,1
26/9/2015,Newcastle,Chelsea,9.637,4.18,2.078,15,1,0,1,2
26/9/2015,Southampton,Swansea,6.618,3.19,3.688,7,8,0,1,1
26/9/2015,Stoke,Bournemouth,6.955,3.207,2.887,9,20,0,-1,1
26/9/2015,Tottenham,Man City,8.031,3.71,2.172,5,2,1,0,1
26/9/2015,West Ham,Norwich,6.735,3.264,3.223,12,20,1,0,2
27/9/2015,Watford,Crystal Palace,6.954,3.17,2.919,20,10,0,1,0
28/9/2015,West Brom,Everton,7.096,3.226,2.544,13,11,-1,-1,0
3/10/2015,Aston Villa,Stoke,7.259,3.195,2.948,17,9,-1,1,0
3/10/2015,Bournemouth,Watford,6.997,3.223,3.484,20,20,0,1,2
3/10/2015,Chelsea,Southampton,6.778,3.425,4.437,1,7,-1,1,0
3/10/2015,Crystal Palace,West Brom,6.673,3.287,4.468,10,13,-1,-1,1
3/10/2015,Man City,Newcastle,6.617,5.881,11.743,2,15,1,1,1
3/10/2015,Norwich,Leicester,7.126,3.298,3.094,20,14,0,0,0
3/10/2015,Sunderland,West Ham,7.607,3.355,2.457,16,12,-1,1,2
4/10/2015,Arsenal,Man United,6.951,3.407,3.544,3,4,-1,1,1
4/10/2015,Everton,Liverpool,7.32,3.193,2.773,11,6,-1,0,2
4/10/2015,Swansea,Tottenham,7.407,3.221,2.739,8,5,-1,1,2
17/10/2015,Chelsea,Aston Villa,6.862,4.748,8.7,1,17,1,0,1
17/10/2015,Crystal Palace,West Ham,7.148,3.354,3.64,10,12,1,1,0
17/10/2015,Everton,Man United,7.887,3.283,2.48,11,4,-1,0,0
17/10/2015,Man City,Bournemouth,6.741,4.878,8.755,2,20,-1,-1,1
17/10/2015,Southampton,Leicester,6.994,3.5,4.502,7,14,0,-1,2
17/10/2015,Tottenham,Liverpool,7.385,3.281,2.9,5,6,1,1,2
17/10/2015,Watford,Arsenal,10.148,4.323,2.076,20,3,-1,1,0
17/10/2015,West Brom,Sunderland,7.138,3.16,3.829,13,16,0,1,1
18/10/2015,Newcastle,Norwich,7.576,3.253,2.779,15,20,-1,1,1
19/10/2015,Swansea,Stoke,6.93,3.18,3.768,8,9,-1,-1,0
24/10/2015,Arsenal,Everton,6.539,4.21,7.108,3,11,1,-1,1
24/10/2015,Aston Villa,Swansea,7.472,3.16,2.639,17,8,0,1,0
24/10/2015,Leicester,Crystal Palace,6.971,3.25,3.234,14,10,1,1,1
24/10/2015,Norwich,West Brom,6.798,3.229,3.777,20,13,0,1,0
24/10/2015,Stoke,Watford,6.842,3.143,3.665,9,20,-1,0,0
24/10/2015,West Ham,Chelsea,8.251,3.646,2.194,12,1,1,0,1
25/10/2015,Bournemouth,Tottenham,7.875,3.337,2.369,20,5,-1,1,0
25/10/2015,Liverpool,Southampton,6.831,3.315,3.64,6,7,-1,-1,2
25/10/2015,Man United,Man City,7.261,3.273,2.794,4,2,-1,0,2
25/10/2015,Sunderland,Newcastle,7.206,3.227,2.858,16,15,0,-1,1
31/10/2015,Chelsea,Liverpool,7.2,3.223,3.546,1,6,-1,-1,0
31/10/2015,Crystal Palace,Man United,8.606,3.42,2.281,10,4,-1,1,2
31/10/2015,Man City,Norwich,6.882,5.307,10.254,2,20,-1,-1,1
31/10/2015,Newcastle,Stoke,7.429,3.236,3.018,15,9,-1,1,2
31/10/2015,Swansea,Arsenal,9.391,3.952,2.087,8,3,1,-1,0
31/10/2015,Watford,West Ham,7.565,3.216,2.817,20,12,0,-1,1
31/10/2015,West Brom,Leicester,7.734,3.234,2.642,13,14,1,0,0
1/11/2015,Everton,Sunderland,6.858,3.947,6.504,11,16,0,1,1
1/11/2015,Southampton,Bournemouth,6.871,3.86,5.794,7,20,1,0,1
2/11/2015,Tottenham,Aston Villa,6.486,4.191,7.384,5,17,1,1,1
7/11/2015,Bournemouth,Newcastle,6.962,3.292,3.247,20,15,-1,1,0
7/11/2015,Leicester,Watford,6.711,3.434,4.056,14,20,1,-1,1
7/11/2015,Man United,West Brom,6.474,4.48,9.794,4,13,0,0,1
7/11/2015,Norwich,Swansea,7.153,3.235,2.902,20,8,-1,0,1
7/11/2015,Stoke,Chelsea,8.132,3.45,2.265,9,1,0,1,1
7/11/2015,Sunderland,Southampton,8.928,3.765,2.126,16,7,1,0,0
7/11/2015,West Ham,Everton,7.229,3.289,2.771,12,11,1,1,2
8/11/2015,Arsenal,Tottenham,6.637,3.672,4.607,3,5,-1,-1,2
8/11/2015,Aston Villa,Man City,11.184,4.951,2.112,17,2,-1,-1,2
8/11/2015,Liverpool,Crystal Palace,6.581,3.513,5.223,6,10,0,1,0
21/11/2015,Chelsea,Norwich,6.384,4.318,7.6,1,20,1,0,1
21/11/2015,Everton,Aston Villa,6.421,3.755,5.8,11,17,-1,-1,1
21/11/2015,Man City,Liverpool,6.506,3.613,5.041,2,6,1,-1,0
21/11/2015,Newcastle,Leicester,7.056,3.392,2.57,15,14,-1,0,0
21/11/2015,Southampton,Stoke,6.433,3.596,5.818,7,9,0,1,0
21/11/2015,Swansea,Bournemouth,6.628,3.316,4.144,8,20,-1,1,2
21/11/2015,Watford,Man United,8.269,3.475,2.254,20,4,-1,-1,0
21/11/2015,West Brom,Arsenal,10.233,4.524,2.091,13,3,-1,1,1
22/11/2015,Tottenham,West Ham,6.338,3.812,5.688,5,12,0,1,1
23/11/2015,Crystal Palace,Sunderland,6.098,3.657,5.957,10,16,1,1,0
28/11/2015,Aston Villa,Watford,7.984,3.139,2.78,17,20,0,-1,0
28/11/2015,Bournemouth,Everton,8.137,3.392,2.521,20,11,0,0,2
28/11/2015,Crystal Palace,Newcastle,7.295,3.566,4.786,10,15,-1,1,1
28/11/2015,Leicester,Man United,8.078,3.355,2.462,14,4,1,-1,2
28/11/2015,Man City,Southampton,7.224,3.912,5.553,2,7,0,1,1
28/11/2015,Sunderland,Stoke,8.275,3.23,2.515,16,9,-1,1,1
29/11/2015,Liverpool,Swansea,7.077,4.069,6.776,6,8,1,-1,1
29/11/2015,Norwich,Arsenal,10.402,4.382,2.043,20,3,0,1,2
29/11/2015,Tottenham,Chelsea,7.79,3.246,2.817,5,1,-1,-1,2
29/11/2015,West Ham,West Brom,7.501,3.219,3.646,12,13,0,1,2
5/12/2015,Arsenal,Sunderland,6.974,5.24,11.193,3,16,0,-1,1
5/12/2015,Chelsea,Bournemouth,6.936,4.562,8.237,1,20,1,-1,0
5/12/2015,Man United,West Ham,6.934,4.041,7.827,4,12,1,0,2
5/12/2015,Southampton,Aston Villa,6.96,3.845,6.565,7,17,0,1,2
5/12/2015,Stoke,Man City,9.723,3.995,2.085,9,2,-1,0,1
5/12/2015,Swansea,Leicester,7.763,3.271,2.684,8,14,-1,1,0
5/12/2015,Watford,Norwich,7.332,3.216,3.432,20,20,-1,-1,1
5/12/2015,West Brom,Tottenham,9.117,3.606,2.172,13,5,1,-1,2
6/12/2015,Newcastle,Liverpool,10.125,4.273,2.062,15,6,1,1,1
7/12/2015,Everton,Crystal Palace,7.056,3.301,3.52,11,10,-1,1,2
12/12/2015,Bournemouth,Man United,8.561,3.329,2.415,20,4,-1,1,1
12/12/2015,Crystal Palace,Southampton,7.979,3.165,2.882,10,7,-1,-1,1
12/12/2015,Man City,Swansea,7.313,5.032,9.573,2,8,-1,0,1
12/12/2015,Norwich,Everton,8.24,3.351,2.564,20,11,0,1,2
12/12/2015,Sunderland,Watford,8.178,3.157,2.689,16,20,-1,1,0
12/12/2015,West Ham,Stoke,8.016,3.148,2.838,12,9,0,1,2
13/12/2015,Aston Villa,Arsenal,11.004,4.377,2.079,17,3,0,1,0
13/12/2015,Liverpool,West Brom,7.26,4.15,8.18,6,13,1,0,2
13/12/2015,Tottenham,Newcastle,7.407,4.577,7.911,5,15,-1,0,0
14/12/2015,Leicester,Chelsea,8.202,3.388,2.438,14,1,-1,1,1
19/12/2015,Chelsea,Sunderland,7.178,4.844,10.134,1,16,-1,1,1
19/12/2015,Everton,Leicester,7.559,3.393,3.344,11,14,-1,-1,0
19/12/2015,Man United,Norwich,7.161,4.037,7.228,4,20,1,0,0
19/12/2015,Newcastle,Aston Villa,7.365,3.247,3.71,15,17,-1,1,2
19/12/2015,Southampton,Tottenham,7.942,3.235,2.74,7,5,-1,1,0
19/12/2015,Stoke,Crystal Palace,7.792,3.127,2.992,9,10,1,1,0
19/12/2015,West Brom,Bournemouth,7.856,3.158,2.878,13,20,0,-1,0
20/12/2015,Swansea,West Ham,7.315,3.189,3.535,8,12,-1,1,2
20/12/2015,Watford,Liverpool,8.915,3.499,2.219,20,6,-1,0,1
21/12/2015,Arsenal,Man City,7.572,3.325,2.931,3,2,0,1,1
26/12/2015,Aston Villa,West Ham,7.83,3.15,2.767,17,12,0,1,2
26/12/2015,Bournemouth,Crystal Palace,7.671,3.242,2.913,20,10,-1,0,2
26/12/2015,Chelsea,Watford,7.162,4.082,6.767,1,20,1,1,2
26/12/2015,Liverpool,Leicester,7.45,3.507,3.647,6,14,-1,1,1
26/12/2015,Man City,Sunderland,7.199,6.082,13.055,2,16,-1,-1,1
26/12/2015,Newcastle,Everton,8.384,3.447,2.363,15,11,-1,1,0
26/12/2015,Southampton,Arsenal,8.639,3.472,2.279,7,3,0,-1,1
