Season,date,HomeTeam,AwayTeam,FTHG,FTAG,Ave L5 Goals,Ave L5 Away,Ave L5 HS,Ave L5 AS,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Result
2000-01,########,CharltonH,ManCityA,4,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ChelseaH,WestHamA,4,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,CoventryH,MiddlesbroughA,1,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,DerbyH,SouthamptonA,2,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,LeedsH,EvertonA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,LeicesterH,AstonVillaA,0,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,LiverpoolH,BradfordA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,SunderlandH,ArsenalA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,TottenhamH,IpswichA,3,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ManUnitedH,NewcastleA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ArsenalH,LiverpoolA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,BradfordH,ChelseaA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,IpswichH,ManUnitedA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,MiddlesbroughH,TottenhamA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,EvertonH,CharltonA,3,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ManCityH,SunderlandA,4,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,NewcastleH,DerbyA,3,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,SouthamptonH,CoventryA,1,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,WestHamH,LeicesterA,0,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,ArsenalH,CharltonA,5,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,BradfordH,LeicesterA,0,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,EvertonH,DerbyA,2,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,IpswichH,SunderlandA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ManCityH,CoventryA,1,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,MiddlesbroughH,LeedsA,1,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,NewcastleH,TottenhamA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,SouthamptonH,LiverpoolA,3,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,WestHamH,ManUnitedA,2,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,AstonVillaH,ChelseaA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,LeedsH,ManCityA,1,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,ManUnitedH,BradfordA,6,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,SunderlandH,WestHamA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,TottenhamH,EvertonA,3,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,CharltonH,SouthamptonA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,ChelseaH,ArsenalA,2,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,CoventryH,NewcastleA,0,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,DerbyH,MiddlesbroughA,3,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,LeicesterH,IpswichA,2,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,LiverpoolH,AstonVillaA,3,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,BradfordH,ArsenalA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,CoventryH,LeedsA,0,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,IpswichH,AstonVillaA,1,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,LeicesterH,SouthamptonA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,LiverpoolH,ManCityA,3,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ManUnitedH,SunderlandA,3,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,MiddlesbroughH,EvertonA,1,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,NewcastleH,ChelseaA,0,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,DerbyH,CharltonA,2,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,TottenhamH,WestHamA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ArsenalH,CoventryA,2,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,AstonVillaH,BradfordA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,CharltonH,TottenhamA,1,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,EvertonH,ManUnitedA,1,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
